Reference;Start;End;Fragment
RDN37;0;6857;37S
RDN37;0;6693;35S
RDN37;608;6693;33S
RDN37;699;6693;32S
RDN37;2726;6693;27SA
RDN37;2868;6678;27SB
RDN37;3174;6678;25.5S
RDN37;3266;6678;25S
RDN37;0;2788;23S
RDN37;608;2788;22S
RDN37;699;2788;21S
RDN37;699;2726;20S
RDN37;699;2513;18S
RDN37;2868;3174;7S
RDN37;2868;3041;6S
RDN37;2868;3033;5-8S
RDN37;0;699;5ETS
RDN37;3033;3266;ITS2
RDN37;2513;2875;ITS1
RDN37;6678;6857;3ETS
